Name,Website,Data Sensitivity,Category
Spokeo,https://www.spokeo.com/optout,8,People Search Site
BeenVerified,https://www.beenverified.com/app/optout/search,8,People Search Site
White Pages,https://support.whitepages.com/hc/en-us/articles/115010106908-How-do-I-edit-or-remove-a-personal-listing,8,People Search Site
Instant Checkmate,https://www.instantcheckmate.com/opt-out/,8,People Search Site
Addresses,https://www.intelius.com/opt-out/submit/,8,People Search Site
Intelius,https://www.intelius.com/opt-out/submit/,8,People Search Site
Radaris,https://radaris.com/page/how-to-remove,8,People Search Site
PrivateEye,https://www.privateeye.com/static/view/optout/,8,People Search Site
AccuData,https://www.accudata.com/,3,Marketing
AdDefend,https://www.addefend.com/en/,3,Marketing
Addresses,https://www.addresses.com,5,People Search Site
AdElement,http://adelement.com/,3,Marketing
Advancedbackgroundchecks,https://www.advancedbackgroundchecks.com,5,People Search Site
Affinity Answers,http://www.affinityanswers.com,4,Marketing
Aged Lead Store,https://agedleadstore.com/,9,Marketing
Aidentified,https://www.aidentified.com/,4,Marketing
Alesco,https://alescodata.com/,4,Marketing
America Phone Book,https://americaphonebook.com/,4,People Search Site
Anchor Computer,http://anchorcomputer.com/,6,Marketing
Anywho,https://www.anywho.com,10,People Search Site
Arkeero,https://arkeero.com/,3,Marketing
Arrestfacts,https://www.arrestfacts.com,7,People Search Site
ASL marketing,https://aslmarketing.com/,6,Marketing
Attribits,http://www.attribits.com,4,Marketing
Belardi Wong (BW),https://belardiwong.com/,4,Marketing
BidSwitch,https://www.bidswitch.com/,4,Marketing
Bliss Point Media,https://www.blisspointmedia.com/,6,Marketing
Bookyourdata,https://www.bookyourdata.com/,3,Marketing
BRIDGE,https://www.thebridgecorp.com/,4,Marketing
Carney Direct,https://www.carneydirect.com/,3,Marketing
Censia,https://www.censia.com/,8,Recruitment
Checksecrets,https://www.checksecrets.com/,10,People Search Site
Clustrmaps,https://www.clustrmaps.com,4,People Search Site
Compact,https://www.compactlists.com/,6,Marketing
Complete Mailing Lists,https://completemailinglists.com/,3,Marketing
Complete Medical Lists,http://completemedicallists.com/,3,Marketing
Comscore,https://www.comscore.com/,4,Marketing
Connext Digital,https://connextdigital.com/,3,Marketing
Contacts411,https://contacts411.com/,2,Marketing
Cybba,https://cybba.com/,4,Marketing
Cyberbackgroundchecks,https://www.cyberbackgroundchecks.com,5,People Search Site
Datastream,https://datastreamgroup.com/,8,Marketing
DecaData,https://decadata.io/,5,Marketing
Deep Root Analytics,https://www.deeprootanalytics.com/,4,Marketing
Degree.Me,https://academixdirect.com/,4,Marketing
DemystData,https://demyst.com/,4,Risk Mitigation
Dice,https://www.dice.com/,3,Recruitment
